Unnamed: 0,year,name,Name (reporting),id,age,ioc,height,hand,high_rank,high_pts,tourney_plyd,tourney_win_pct,avg_tourney_level,matches_played,match_wins,match_win_pct,finals,titles,final_win_pct,slam_finals,slams,atp_finals_finals,atp_finals,masters_finals,masters,500_finals,500_titles,250_finals,250_titles,olympic_g,aces_per_game,df_per_game,sv_game_win_pct,return_game_win_pct,1st_pct,1st_win_pct,2nd_win_pct,1st_return_win_pct,2nd_return_win_pct,bp_per_game,bp_faced_per_game,bp_conversion_rate,bp_saved_rate,tb_win_pct,no1_faced,no1_win_pct,top_5_faced,top_5_win_pct,top_10_faced,top_10_win_pct,top_20_faced,top_20_win_pct,top_50_faced,top_50_win_pct,top_100_faced,top_100_win_pct,matches_w_stats,matches_w_minutes,avg_opponent_rank,avg_opponent_pts,sets_w_stats,sets_w_mins,minutes_per_match,minutes_per_set,English short name lower case,Alpha-2 code,Alpha-3 code,Numeric code,ISO 3166-2,country,latitude,longitude,country_code,Continent
14,1991-2023,Aki Rahunen,A. Rahunen,102000,20,FIN,175,R,62,513,19,0,736.8421053,30,10,0.333333333,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.107407407,0.322222222,0.6,0.24,0.58361204,0.609360076,0.445783133,0.314944835,0.486772487,0.574545455,0.82962963,0.417721519,0.517857143,0.333333333,0,,1,0,1,0,3,0,7,0.142857143,19,0.263157895,25,25,143.3,468.7333333,61,61,90.88,37.24590164,Finland,FI,FIN,246,ISO 3166-2:FI,Finland,61.92411,25.748151,FI,Europe
15,1991-2023,Akira Santillan,A. Santillan,117361,20.1,AUS,180,R,163,341,7,0,250,9,2,0.222222222,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.511111111,0.266666667,0.744444444,0.183908046,0.535262206,0.699324324,0.513618677,0.253333333,0.462882096,0.448275862,0.466666667,0.41025641,0.452380952,0,0,,0,,0,,1,0,1,0,4,0,9,9,107.4444444,718.8888889,20,20,71.11111111,32,Australia,AU,AUS,36,ISO 3166-2:AU,Australia,-25.274398,133.775136,AU,Oceania
16,1991-2023,Alan Mackin,A. Mackin,103820,24.9,GBR,183,R,218,180,11,0,1045.454545,15,1,0.066666667,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.176870748,0.299319728,0.591836735,0.148648649,0.656862745,0.61641791,0.405714286,0.24912892,0.464864865,0.385135135,0.904761905,0.385964912,0.54887218,0.5,1,0,1,0,1,0,2,0,5,0,13,0,11,11,94.93333333,1069.266667,31,31,113,40.09677419,United Kingdom,GB,GBR,826,ISO 3166-2:GB,United Kingdom,55.378051,-3.435973,GB,Europe
17,1991-2023,Albano Olivetti,A. Olivetti,105874,22.1,FRA,203,R,161,340,9,0,833.3333333,14,5,0.357142857,0,0,,0,0,0,0,0,0,0,0,0,0,0,1.346938776,0.433673469,0.836734694,0.056122449,0.57247557,0.803698435,0.491428571,0.187664042,0.411027569,0.239795918,0.479591837,0.234042553,0.659574468,0.6,0,,0,,2,0.5,2,0.5,4,0.25,10,0.4,14,14,84.35714286,977.2142857,37,37,104,39.35135135,France,FR,FRA,250,ISO 3166-2:FR,France,46.227638,2.213749,FR,Europe
18,1991-2023,Albert Chang,A. Chang,101865,24.4,CAN,183,R,148,310,17,0,676.4705882,25,7,0.28,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.329588015,0.299625468,0.72659176,0.161048689,0.623543124,0.686915888,0.46749226,0.274396135,0.445255474,0.445692884,0.629213483,0.361344538,0.56547619,0.2,0,,1,0,4,0.25,6,0.166666667,8,0.25,13,0.230769231,23,22,174,883.32,57,55,92.63636364,37.05454545,Canada,CA,CAN,124,ISO 3166-2:CA,Canada,56.130366,-106.346771,CA,North America
19,1991-2023,Albert Costa,A. Costa,102610,30.8,ESP,180,R,6,2385,280,0.046428571,752.6785714,658,385,0.585106383,22,13,0.590909091,1,1,0,0,3,1,4,2,14,9,0,0.287706948,0.169860514,0.77603963,0.267705197,0.668108064,0.675629083,0.521704718,0.305899061,0.51762532,0.653357769,0.564593925,0.409737528,0.603324867,0.508695652,7,0.142857143,39,0.307692308,80,0.35,130,0.407692308,311,0.514469453,518,0.55019305,635,626,72.1978852,1017.412387,1617,1584,101.3466454,40.05239899,Spain,ES,ESP,724,ISO 3166-2:ES,Spain,40.463667,-3.74922,ES,Europe
20,1991-2023,Albert Montanes,A. Montanes,103656,36.4,ESP,175,R,22,1770,293,0.020477816,720.1365188,542,255,0.470479705,11,6,0.545454545,0,0,0,0,0,0,1,0,10,6,0,0.292999838,0.275946078,0.746142602,0.223599485,0.603659459,0.690631263,0.494594938,0.288674091,0.496359223,0.568094012,0.608250771,0.39359592,0.582643525,0.505434783,6,0.166666667,23,0.086956522,42,0.119047619,90,0.188888889,225,0.28,415,0.385542169,538,533,80.97610294,1137.472426,1332,1321,96.79549719,39.05526117,Spain,ES,ESP,724,ISO 3166-2:ES,Spain,40.463667,-3.74922,ES,Europe
21,1991-2023,Albert Portas,A. Portas,102287,34.2,ESP,188,R,20,1350,199,0.005025126,643.2160804,340,142,0.417647059,4,1,0.25,0,0,0,0,1,1,1,0,2,0,0,0.356277391,0.31606084,0.700438257,0.25140809,0.572696485,0.679105492,0.464334518,0.291289862,0.516661973,0.613671275,0.688837329,0.409678765,0.56511976,0.452830189,0,,12,0.333333333,26,0.384615385,59,0.271186441,133,0.285714286,250,0.352,336,335,81.46176471,848.8,832,830,92.75223881,37.43614458,Spain,ES,ESP,724,ISO 3166-2:ES,Spain,40.463667,-3.74922,ES,Europe
22,1991-2023,Albert Ramos,A. Ramos,105077,35.5,ESP,188,L,17,2180,319,0.012539185,716.3009404,595,277,0.465546218,12,4,0.333333333,0,0,0,0,1,0,0,0,11,4,0,0.271721085,0.201715551,0.761759823,0.229620496,0.623985592,0.675982207,0.515947256,0.296045588,0.500930487,0.567886012,0.612202546,0.404342581,0.610847458,0.403921569,5,0.2,26,0.076923077,56,0.142857143,117,0.205128205,260,0.307692308,466,0.392703863,592,575,75.48993289,1386.256711,1513,1462,116.8973913,45.9753762,Spain,ES,ESP,724,ISO 3166-2:ES,Spain,40.463667,-3.74922,ES,Europe
23,1991-2023,Alberto Berasategui,A. Berasategui,102238,27,ESP,173,R,7,2532,208,0.067307692,591.3461538,477,278,0.582809224,23,14,0.608695652,1,0,0,0,0,0,2,1,20,13,0,0.141049498,0.235578712,0.717901005,0.324132786,0.736822758,0.63169206,0.487912324,0.335879933,0.563101094,0.732748974,0.673241533,0.442351743,0.580983969,0.513333333,1,0,15,0.4,39,0.282051282,80,0.2625,191,0.45026178,355,0.554929577,468,457,82.17154812,849.6736402,1150,1109,86.83369803,35.78268711,Spain,ES,ESP,724,ISO 3166-2:ES,Spain,40.463667,-3.74922,ES,Europe
